2026-03-09 12:26:26 - INFO - starting pipeline
2026-03-09 12:26:26 - INFO - inputs processed
2026-03-09 12:28:27 - INFO - forward pass complete for HG00740_h1
2026-03-09 12:30:13 - INFO - backward pass complete for HG00740_h1
2026-03-09 12:30:24 - INFO - global ancestry calculated for HG00740_h1
2026-03-09 12:30:27 - INFO - viterbi processed marker 100 for HG00740_h1
2026-03-09 12:30:30 - INFO - viterbi processed marker 200 for HG00740_h1
2026-03-09 12:30:32 - INFO - viterbi processed marker 300 for HG00740_h1
2026-03-09 12:30:35 - INFO - viterbi processed marker 400 for HG00740_h1
2026-03-09 12:30:38 - INFO - viterbi processed marker 500 for HG00740_h1
2026-03-09 12:30:41 - INFO - viterbi processed marker 600 for HG00740_h1
2026-03-09 12:30:44 - INFO - viterbi processed marker 700 for HG00740_h1
2026-03-09 12:30:47 - INFO - viterbi processed marker 800 for HG00740_h1
2026-03-09 12:30:50 - INFO - viterbi processed marker 900 for HG00740_h1
2026-03-09 12:30:53 - INFO - viterbi processed marker 1000 for HG00740_h1
2026-03-09 12:30:56 - INFO - viterbi processed marker 1100 for HG00740_h1
2026-03-09 12:30:58 - INFO - viterbi processed marker 1200 for HG00740_h1
2026-03-09 12:31:01 - INFO - viterbi processed marker 1300 for HG00740_h1
2026-03-09 12:31:04 - INFO - viterbi processed marker 1400 for HG00740_h1
2026-03-09 12:31:07 - INFO - viterbi processed marker 1500 for HG00740_h1
2026-03-09 12:31:10 - INFO - viterbi processed marker 1600 for HG00740_h1
2026-03-09 12:31:13 - INFO - viterbi processed marker 1700 for HG00740_h1
2026-03-09 12:31:16 - INFO - viterbi processed marker 1800 for HG00740_h1
2026-03-09 12:31:19 - INFO - viterbi processed marker 1900 for HG00740_h1
2026-03-09 12:31:21 - INFO - viterbi processed marker 2000 for HG00740_h1
2026-03-09 12:31:24 - INFO - viterbi processed marker 2100 for HG00740_h1
2026-03-09 12:31:27 - INFO - viterbi processed marker 2200 for HG00740_h1
2026-03-09 12:31:30 - INFO - viterbi processed marker 2300 for HG00740_h1
2026-03-09 12:31:33 - INFO - viterbi processed marker 2400 for HG00740_h1
2026-03-09 12:31:36 - INFO - viterbi processed marker 2500 for HG00740_h1
2026-03-09 12:31:39 - INFO - viterbi processed marker 2600 for HG00740_h1
2026-03-09 12:31:42 - INFO - viterbi processed marker 2700 for HG00740_h1
2026-03-09 12:31:45 - INFO - viterbi processed marker 2800 for HG00740_h1
2026-03-09 12:31:48 - INFO - viterbi processed marker 2900 for HG00740_h1
2026-03-09 12:31:51 - INFO - viterbi processed marker 3000 for HG00740_h1
2026-03-09 12:31:55 - INFO - viterbi processed marker 3100 for HG00740_h1
2026-03-09 12:31:58 - INFO - viterbi processed marker 3200 for HG00740_h1
2026-03-09 12:32:01 - INFO - viterbi processed marker 3300 for HG00740_h1
2026-03-09 12:32:04 - INFO - viterbi processed marker 3400 for HG00740_h1
2026-03-09 12:32:07 - INFO - viterbi processed marker 3500 for HG00740_h1
2026-03-09 12:32:10 - INFO - viterbi processed marker 3600 for HG00740_h1
2026-03-09 12:32:13 - INFO - viterbi processed marker 3700 for HG00740_h1
2026-03-09 12:32:16 - INFO - viterbi processed marker 3800 for HG00740_h1
2026-03-09 12:32:18 - INFO - haplotype 1 (HG00740_h1) processed
2026-03-09 12:34:08 - INFO - forward pass complete for HG00740_h2
2026-03-09 12:35:59 - INFO - backward pass complete for HG00740_h2
2026-03-09 12:36:12 - INFO - global ancestry calculated for HG00740_h2
2026-03-09 12:36:15 - INFO - viterbi processed marker 100 for HG00740_h2
2026-03-09 12:36:18 - INFO - viterbi processed marker 200 for HG00740_h2
2026-03-09 12:36:21 - INFO - viterbi processed marker 300 for HG00740_h2
2026-03-09 12:36:24 - INFO - viterbi processed marker 400 for HG00740_h2
2026-03-09 12:36:27 - INFO - viterbi processed marker 500 for HG00740_h2
2026-03-09 12:36:30 - INFO - viterbi processed marker 600 for HG00740_h2
2026-03-09 12:36:33 - INFO - viterbi processed marker 700 for HG00740_h2
2026-03-09 12:36:36 - INFO - viterbi processed marker 800 for HG00740_h2
2026-03-09 12:36:39 - INFO - viterbi processed marker 900 for HG00740_h2
2026-03-09 12:36:42 - INFO - viterbi processed marker 1000 for HG00740_h2
2026-03-09 12:36:45 - INFO - viterbi processed marker 1100 for HG00740_h2
2026-03-09 12:36:48 - INFO - viterbi processed marker 1200 for HG00740_h2
2026-03-09 12:36:51 - INFO - viterbi processed marker 1300 for HG00740_h2
2026-03-09 12:36:54 - INFO - viterbi processed marker 1400 for HG00740_h2
2026-03-09 12:36:57 - INFO - viterbi processed marker 1500 for HG00740_h2
2026-03-09 12:37:00 - INFO - viterbi processed marker 1600 for HG00740_h2
2026-03-09 12:37:03 - INFO - viterbi processed marker 1700 for HG00740_h2
2026-03-09 12:37:06 - INFO - viterbi processed marker 1800 for HG00740_h2
2026-03-09 12:37:09 - INFO - viterbi processed marker 1900 for HG00740_h2
2026-03-09 12:37:12 - INFO - viterbi processed marker 2000 for HG00740_h2
2026-03-09 12:37:15 - INFO - viterbi processed marker 2100 for HG00740_h2
2026-03-09 12:37:18 - INFO - viterbi processed marker 2200 for HG00740_h2
2026-03-09 12:37:21 - INFO - viterbi processed marker 2300 for HG00740_h2
2026-03-09 12:37:24 - INFO - viterbi processed marker 2400 for HG00740_h2
2026-03-09 12:37:27 - INFO - viterbi processed marker 2500 for HG00740_h2
2026-03-09 12:37:30 - INFO - viterbi processed marker 2600 for HG00740_h2
2026-03-09 12:37:34 - INFO - viterbi processed marker 2700 for HG00740_h2
2026-03-09 12:37:37 - INFO - viterbi processed marker 2800 for HG00740_h2
2026-03-09 12:37:40 - INFO - viterbi processed marker 2900 for HG00740_h2
2026-03-09 12:37:43 - INFO - viterbi processed marker 3000 for HG00740_h2
2026-03-09 12:37:46 - INFO - viterbi processed marker 3100 for HG00740_h2
2026-03-09 12:37:49 - INFO - viterbi processed marker 3200 for HG00740_h2
2026-03-09 12:37:52 - INFO - viterbi processed marker 3300 for HG00740_h2
2026-03-09 12:37:55 - INFO - viterbi processed marker 3400 for HG00740_h2
2026-03-09 12:37:58 - INFO - viterbi processed marker 3500 for HG00740_h2
2026-03-09 12:38:01 - INFO - viterbi processed marker 3600 for HG00740_h2
2026-03-09 12:38:03 - INFO - viterbi processed marker 3700 for HG00740_h2
2026-03-09 12:38:06 - INFO - viterbi processed marker 3800 for HG00740_h2
2026-03-09 12:38:09 - INFO - haplotype 2 (HG00740_h2) processed
2026-03-09 12:39:54 - INFO - forward pass complete for HG01142_h1
2026-03-09 12:41:47 - INFO - backward pass complete for HG01142_h1
2026-03-09 12:41:58 - INFO - global ancestry calculated for HG01142_h1
2026-03-09 12:42:01 - INFO - viterbi processed marker 100 for HG01142_h1
2026-03-09 12:42:04 - INFO - viterbi processed marker 200 for HG01142_h1
2026-03-09 12:42:07 - INFO - viterbi processed marker 300 for HG01142_h1
2026-03-09 12:42:10 - INFO - viterbi processed marker 400 for HG01142_h1
2026-03-09 12:42:13 - INFO - viterbi processed marker 500 for HG01142_h1
2026-03-09 12:42:15 - INFO - viterbi processed marker 600 for HG01142_h1
2026-03-09 12:42:18 - INFO - viterbi processed marker 700 for HG01142_h1
2026-03-09 12:42:21 - INFO - viterbi processed marker 800 for HG01142_h1
2026-03-09 12:42:24 - INFO - viterbi processed marker 900 for HG01142_h1
2026-03-09 12:42:27 - INFO - viterbi processed marker 1000 for HG01142_h1
2026-03-09 12:42:30 - INFO - viterbi processed marker 1100 for HG01142_h1
2026-03-09 12:42:33 - INFO - viterbi processed marker 1200 for HG01142_h1
2026-03-09 12:42:36 - INFO - viterbi processed marker 1300 for HG01142_h1
2026-03-09 12:42:39 - INFO - viterbi processed marker 1400 for HG01142_h1
2026-03-09 12:42:42 - INFO - viterbi processed marker 1500 for HG01142_h1
2026-03-09 12:42:45 - INFO - viterbi processed marker 1600 for HG01142_h1
2026-03-09 12:42:47 - INFO - viterbi processed marker 1700 for HG01142_h1
2026-03-09 12:42:50 - INFO - viterbi processed marker 1800 for HG01142_h1
2026-03-09 12:42:53 - INFO - viterbi processed marker 1900 for HG01142_h1
2026-03-09 12:42:56 - INFO - viterbi processed marker 2000 for HG01142_h1
2026-03-09 12:43:00 - INFO - viterbi processed marker 2100 for HG01142_h1
2026-03-09 12:43:03 - INFO - viterbi processed marker 2200 for HG01142_h1
2026-03-09 12:43:06 - INFO - viterbi processed marker 2300 for HG01142_h1
2026-03-09 12:43:09 - INFO - viterbi processed marker 2400 for HG01142_h1
