	AFR	EUR	EAS
HG00740	0.42069231268570484	0.5726663398042025	0.006641347510092764
HG01142	0.3101930463313419	0.665911685177797	0.023895268490861165
HG01161	0.0021938363702147545	0.9944971349548599	0.0033090286749253984
HG01173	0.002587848087913295	0.9936411545706756	0.0037709973414111215
HG01197	0.017503144287444844	0.9633035911952847	0.019193264517270454
HG01200	0.01812758788896957	0.9731494112428833	0.00872300086814706
HG01205	0.003095619351009911	0.9904397267031069	0.006464653945883276
HG01248	0.0029872739772924695	0.9913402612515483	0.005672464771159296
HG01250	0.023059863371854804	0.9591299697551126	0.017810166873032697
HG00554	0.0017204652085303536	0.9896355144850422	0.008644020306427372
