2026-03-11 18:55:24 - INFO - starting pipeline
2026-03-11 18:55:24 - INFO - inputs processed
2026-03-11 18:56:57 - INFO - forward pass complete for S1_trivial_1_h1
2026-03-11 18:58:30 - INFO - backward pass complete for S1_trivial_1_h1
2026-03-11 18:58:42 - INFO - global ancestry calculated for S1_trivial_1_h1
2026-03-11 18:58:43 - INFO - viterbi processed marker 100 for S1_trivial_1_h1
2026-03-11 18:58:45 - INFO - viterbi processed marker 200 for S1_trivial_1_h1
2026-03-11 18:58:46 - INFO - viterbi processed marker 300 for S1_trivial_1_h1
2026-03-11 18:58:48 - INFO - viterbi processed marker 400 for S1_trivial_1_h1
2026-03-11 18:58:50 - INFO - viterbi processed marker 500 for S1_trivial_1_h1
2026-03-11 18:58:51 - INFO - viterbi processed marker 600 for S1_trivial_1_h1
2026-03-11 18:58:53 - INFO - viterbi processed marker 700 for S1_trivial_1_h1
2026-03-11 18:58:54 - INFO - viterbi processed marker 800 for S1_trivial_1_h1
2026-03-11 18:58:56 - INFO - viterbi processed marker 900 for S1_trivial_1_h1
2026-03-11 18:58:57 - INFO - viterbi processed marker 1000 for S1_trivial_1_h1
2026-03-11 18:58:59 - INFO - viterbi processed marker 1100 for S1_trivial_1_h1
2026-03-11 18:59:01 - INFO - viterbi processed marker 1200 for S1_trivial_1_h1
2026-03-11 18:59:02 - INFO - viterbi processed marker 1300 for S1_trivial_1_h1
2026-03-11 18:59:04 - INFO - viterbi processed marker 1400 for S1_trivial_1_h1
2026-03-11 18:59:05 - INFO - viterbi processed marker 1500 for S1_trivial_1_h1
2026-03-11 18:59:07 - INFO - viterbi processed marker 1600 for S1_trivial_1_h1
2026-03-11 18:59:08 - INFO - viterbi processed marker 1700 for S1_trivial_1_h1
2026-03-11 18:59:10 - INFO - viterbi processed marker 1800 for S1_trivial_1_h1
2026-03-11 18:59:12 - INFO - viterbi processed marker 1900 for S1_trivial_1_h1
2026-03-11 18:59:13 - INFO - viterbi processed marker 2000 for S1_trivial_1_h1
2026-03-11 18:59:15 - INFO - viterbi processed marker 2100 for S1_trivial_1_h1
2026-03-11 18:59:16 - INFO - viterbi processed marker 2200 for S1_trivial_1_h1
2026-03-11 18:59:18 - INFO - viterbi processed marker 2300 for S1_trivial_1_h1
2026-03-11 18:59:19 - INFO - viterbi processed marker 2400 for S1_trivial_1_h1
2026-03-11 18:59:21 - INFO - viterbi processed marker 2500 for S1_trivial_1_h1
2026-03-11 18:59:23 - INFO - viterbi processed marker 2600 for S1_trivial_1_h1
2026-03-11 18:59:24 - INFO - viterbi processed marker 2700 for S1_trivial_1_h1
2026-03-11 18:59:26 - INFO - viterbi processed marker 2800 for S1_trivial_1_h1
2026-03-11 18:59:27 - INFO - viterbi processed marker 2900 for S1_trivial_1_h1
2026-03-11 18:59:29 - INFO - viterbi processed marker 3000 for S1_trivial_1_h1
2026-03-11 18:59:30 - INFO - viterbi processed marker 3100 for S1_trivial_1_h1
2026-03-11 18:59:32 - INFO - viterbi processed marker 3200 for S1_trivial_1_h1
2026-03-11 18:59:33 - INFO - viterbi processed marker 3300 for S1_trivial_1_h1
2026-03-11 18:59:35 - INFO - viterbi processed marker 3400 for S1_trivial_1_h1
2026-03-11 18:59:37 - INFO - viterbi processed marker 3500 for S1_trivial_1_h1
2026-03-11 18:59:38 - INFO - viterbi processed marker 3600 for S1_trivial_1_h1
2026-03-11 18:59:40 - INFO - viterbi processed marker 3700 for S1_trivial_1_h1
2026-03-11 18:59:41 - INFO - viterbi processed marker 3800 for S1_trivial_1_h1
2026-03-11 18:59:43 - INFO - viterbi processed marker 3900 for S1_trivial_1_h1
2026-03-11 18:59:44 - INFO - viterbi processed marker 4000 for S1_trivial_1_h1
2026-03-11 18:59:46 - INFO - viterbi processed marker 4100 for S1_trivial_1_h1
2026-03-11 18:59:48 - INFO - viterbi processed marker 4200 for S1_trivial_1_h1
2026-03-11 18:59:49 - INFO - viterbi processed marker 4300 for S1_trivial_1_h1
2026-03-11 18:59:51 - INFO - viterbi processed marker 4400 for S1_trivial_1_h1
2026-03-11 18:59:52 - INFO - viterbi processed marker 4500 for S1_trivial_1_h1
2026-03-11 18:59:54 - INFO - viterbi processed marker 4600 for S1_trivial_1_h1
2026-03-11 18:59:55 - INFO - viterbi processed marker 4700 for S1_trivial_1_h1
2026-03-11 18:59:57 - INFO - viterbi processed marker 4800 for S1_trivial_1_h1
2026-03-11 18:59:59 - INFO - viterbi processed marker 4900 for S1_trivial_1_h1
2026-03-11 19:00:00 - INFO - viterbi processed marker 5000 for S1_trivial_1_h1
2026-03-11 19:00:02 - INFO - viterbi processed marker 5100 for S1_trivial_1_h1
2026-03-11 19:00:03 - INFO - viterbi processed marker 5200 for S1_trivial_1_h1
2026-03-11 19:00:05 - INFO - viterbi processed marker 5300 for S1_trivial_1_h1
2026-03-11 19:00:07 - INFO - viterbi processed marker 5400 for S1_trivial_1_h1
2026-03-11 19:00:08 - INFO - viterbi processed marker 5500 for S1_trivial_1_h1
2026-03-11 19:00:10 - INFO - viterbi processed marker 5600 for S1_trivial_1_h1
2026-03-11 19:00:11 - INFO - viterbi processed marker 5700 for S1_trivial_1_h1
2026-03-11 19:00:13 - INFO - viterbi processed marker 5800 for S1_trivial_1_h1
2026-03-11 19:00:14 - INFO - viterbi processed marker 5900 for S1_trivial_1_h1
2026-03-11 19:00:16 - INFO - viterbi processed marker 6000 for S1_trivial_1_h1
